response_id,job_role,company_tier,years_of_experience,country,remote_policy,base_salary_usd,annual_equity_usd,annual_bonus_usd,total_compensation_usd,primary_cloud,orchestrator,data_warehouse,lakehouse_table_format,has_production_rag,vector_database,mlops_maturity_level,data_quality_framework,primary_language,record_id,submission_date,work_location,daily_volume_gb,avg_pipeline_duration_min,monthly_failure_rate_pct,salary_usd,tool,latency_ms,failure_rate,uptime_pct,ml_enabled
13463,13463,13463,13463.0,13463,13463,13463.0,13463.0,13463.0,13463.0,13463,13463,13463,13463,13463,13463,13463.0,13463,13463,13463,13463,13463,13463.0,13463.0,13463.0,13463.0,13463,13463.0,13463.0,13463.0,13463.0
13463,7,5,,15,3,,,,,4,7,6,5,1,5,,4,5,13463,365,15,,,,,7,,,,
SURV-000000,Senior Data Engineer,Fortune 500 Enterprise,,United States,100% Remote,,,,,AWS,Databricks Workflows,Snowflake,Apache Iceberg,True,pgvector,,Great Expectations,Python,PIPE-100000,2025-08-31,United States,,,,,Databricks Workflows,,,,
1,3809,4065,,5150,6945,,,,,6066,1965,2288,5738,13463,2758,,3429,7815,1,55,5150,,,,,1965,,,,
,,,11.910049766025402,,,278443.85077620146,105254.00995320508,86679.14506425017,470377.0057936567,,,,,,,3.0780658099977716,,,,,,114.0445591621481,92.76505979350813,2.3163878778875437,470377.0057936567,,5565903.587610488,0.023163878778875425,97.68361212211245,1.0
,,,6.645791757271472,,,138283.29580728902,103015.96549253848,104790.32080285049,300225.1224027995,,,,,,,1.163596059275519,,,,,,197.79714822291174,50.65301684006361,1.7713284743783801,300225.1224027995,,3039181.010403816,0.0177132847437838,1.7713284743783797,0.0
,,,1.0,,,30227.0,1818.0,3114.0,37900.0,,,,,,,1.0,,,,,,0.3,5.0,0.2,37900.0,,300000.0,0.002,85.34,1.0
,,,6.0,,,180333.0,26195.5,33339.0,257615.0,,,,,,,2.0,,,,,,24.3,49.0,0.98,257615.0,,2940000.0,0.0098,96.81,1.0
,,,12.0,,,255783.0,67386.0,52607.0,393756.0,,,,,,,3.0,,,,,,55.4,93.0,1.88,393756.0,,5580000.0,0.0187999999999999,98.12,1.0
,,,18.0,,,353133.5,155042.0,86010.0,610041.5,,,,,,,4.0,,,,,,125.05,137.0,3.19,610041.5,,8220000.0,0.0319,99.02,1.0
,,,23.0,,,1025583.0,772114.0,1073156.0,2640275.0,,,,,,,5.0,,,,,,5706.5,179.0,14.66,2640275.0,,10740000.0,0.1466,99.8,1.0
